chr,start,end,peak_id,score
chr1,3745089,3745666,peak_02809,230
chr1,3745236,3745768,peak_04145,680
chr1,3773771,3775745,peak_03435,894
chr1,3779263,3780742,peak_04171,665
chr1,3780688,3781188,peak_02060,493
chr1,3801138,3802392,peak_03911,449
chr1,3801183,3801520,peak_00141,136
chr1,3805119,3806596,peak_02161,576
chr1,3806632,3807566,peak_03538,607
chr1,3813436,3814876,peak_03761,42
chr1,3816809,3816975,peak_04804,538
chr1,3817794,3819701,peak_04256,432
chr1,3827193,3828309,peak_02862,815
chr1,3827380,3828026,peak_03462,415
chr1,3831428,3831938,peak_00072,71
chr1,3845773,3846420,peak_01251,934
chr1,3860109,3860586,peak_03900,477
chr1,3864906,3866707,peak_02155,747
chr1,3868318,3869542,peak_02515,620
chr1,3894471,3894629,peak_02278,414
chr1,3898552,3898790,peak_00282,205
chr1,3899691,3901325,peak_03312,483
chr1,3915320,3915596,peak_02581,553
chr1,3920580,3921885,peak_03183,154
chr1,3928806,3930519,peak_04292,855
chr1,3937851,3939403,peak_00648,851
chr1,3943460,3944732,peak_01099,833
chr1,3947604,3948063,peak_02934,845
chr1,3962774,3963858,peak_03479,564
chr1,3966476,3968298,peak_02359,57
chr1,3967454,3967625,peak_01912,545
chr1,3972941,3974283,peak_03540,516
chr1,3998781,4000013,peak_01218,508
chr1,4006780,4007906,peak_01608,453
chr1,4026577,4028497,peak_04436,851
chr1,4049183,4051175,peak_02776,195
chr1,4050948,4051108,peak_01574,812
chr1,4061054,4061202,peak_03286,210
chr1,4078147,4079308,peak_02394,574
chr1,4099198,4099906,peak_04347,635
chr1,4103307,4103763,peak_00686,732
chr1,4105431,4106795,peak_00062,40
chr1,4110240,4110511,peak_00160,446
chr1,4125866,4126252,peak_02222,252
chr1,4137083,4137250,peak_01293,459
chr1,4161034,4161577,peak_04309,664
chr1,4173305,4174795,peak_00889,618
chr1,4180917,4182143,peak_04919,794
chr1,4188753,4190072,peak_03414,597
chr1,4200916,4202221,peak_04673,693
chr1,4201900,4203500,peak_01789,794
chr1,4205492,4206717,peak_03872,533
chr1,4205557,4205896,peak_03109,96
chr1,4206305,4206933,peak_03025,30
chr1,4208966,4209234,peak_03917,827
chr1,4209027,4210777,peak_00826,137
chr1,4211254,4212182,peak_04161,593
chr1,4211856,4212988,peak_01341,125
chr1,4212106,4213807,peak_03789,398
chr1,4224796,4225506,peak_04615,122
chr1,4237287,4237551,peak_01681,233
chr1,4256105,4258016,peak_02308,974
chr1,4269455,4271116,peak_04674,640
chr1,4269624,4269764,peak_03609,51
chr1,4280292,4281807,peak_03766,461
chr1,4288916,4290729,peak_03194,285
chr1,4289365,4289865,peak_03825,219
chr1,4295814,4296415,peak_00281,105
chr1,4302461,4303544,peak_03113,303
chr1,4308940,4310663,peak_04133,282
chr1,4328396,4329506,peak_02830,467
chr1,4355282,4355716,peak_03308,909
chr1,4363139,4363649,peak_03130,528
chr1,4367933,4368989,peak_04988,323
chr1,4370478,4370591,peak_00361,944
chr1,4383286,4384426,peak_00677,782
chr1,4404329,4405406,peak_03730,682
chr1,4404382,4405879,peak_01041,282
chr1,4407659,4408929,peak_03583,973
chr1,4423459,4425218,peak_04707,725
chr1,4424503,4425687,peak_02210,743
chr1,4429052,4430171,peak_00314,967
chr1,4430509,4432443,peak_04419,685
chr1,4437172,4438561,peak_02431,523
chr1,4440767,4441850,peak_02178,842
chr1,4474597,4476459,peak_04280,452
chr1,4489136,4490929,peak_00046,110
chr1,4490630,4492480,peak_00942,970
chr1,4496808,4498637,peak_03750,377
chr1,4497661,4498911,peak_01531,731
chr1,4500406,4502270,peak_03496,17
chr1,4505512,4507329,peak_01155,325
chr1,4535712,4536901,peak_03770,688
chr1,4548360,4548603,peak_02375,473
chr1,4583375,4585044,peak_00007,328
chr1,4591448,4593139,peak_03195,99
chr1,4601846,4602672,peak_04194,115
chr1,4622775,4623199,peak_04012,46
chr1,4626427,4627138,peak_04956,262
chr1,4635630,4636207,peak_00787,615
chr1,4647879,4648496,peak_04100,74
chr1,4677949,4678461,peak_01651,660
chr1,4683253,4683645,peak_00711,139
chr1,4685935,4686391,peak_02929,489
chr1,4702359,4704116,peak_03306,698
chr1,4713199,4714591,peak_04311,132
chr1,4720629,4720771,peak_03822,952
chr1,4734438,4736049,peak_00907,497
chr1,4738501,4739650,peak_02564,470
chr1,4762868,4763505,peak_04542,60
chr1,4780680,4781697,peak_01401,665
chr1,4790213,4791972,peak_03865,512
chr1,4794155,4794301,peak_02578,939
chr1,4796004,4797099,peak_01062,505
chr1,4802260,4803415,peak_00947,241
chr1,4804390,4806172,peak_00920,253
chr1,4804830,4806272,peak_00130,906
chr1,4811928,4812308,peak_04612,162
chr1,4815870,4816615,peak_01342,167
chr1,4818411,4818930,peak_03883,878
chr1,4826009,4826418,peak_01587,209
chr1,4834246,4835100,peak_01428,517
chr1,4839098,4840131,peak_04326,365
chr1,4849203,4849812,peak_01493,407
chr1,4861355,4863122,peak_04754,769
chr1,4868138,4869184,peak_01573,298
chr1,4880712,4881689,peak_03170,139
chr1,4883017,4883874,peak_01420,330
chr1,4888898,4890779,peak_01117,226
chr1,4898462,4899006,peak_04829,161
chr1,4908194,4909848,peak_03928,187
chr1,4912543,4913840,peak_04243,526
chr1,4926510,4928183,peak_00762,289
chr1,4926936,4928370,peak_00307,668
chr1,4930691,4932207,peak_00269,932
chr1,4932780,4934738,peak_01399,587
chr1,4961861,4963535,peak_00276,775
chr1,4966895,4968108,peak_03059,449
chr1,4973471,4973639,peak_00865,147
chr1,4976054,4976762,peak_04874,595
chr1,4989703,4990325,peak_01734,949
chr1,5010082,5011458,peak_04343,976
chr1,5030227,5031983,peak_04268,483
chr1,5041550,5042204,peak_02831,204
chr1,5043248,5043860,peak_02612,761
chr1,5043691,5043808,peak_01196,672
chr1,5054355,5056280,peak_03803,228
chr1,5067646,5068136,peak_03728,896
chr1,5068202,5069898,peak_00318,113
chr1,5101670,5101985,peak_04123,127
chr1,5107002,5108966,peak_04502,71
chr1,5108461,5108771,peak_04284,782
chr1,5118178,5119291,peak_03768,178
chr1,5126122,5126863,peak_01311,131
chr1,5126668,5127779,peak_04504,59
chr1,5127688,5127988,peak_00816,473
chr1,5137158,5137622,peak_04639,249
chr1,5154752,5155123,peak_01658,84
chr1,5158347,5159430,peak_02030,693
chr1,5169522,5171245,peak_01234,65
chr1,5174029,5174581,peak_03871,494
chr1,5177982,5178666,peak_03824,684
chr1,5178193,5178821,peak_00613,281
chr1,5195914,5197601,peak_03459,907
chr1,5196745,5197109,peak_00445,152
chr1,5203163,5204527,peak_01944,470
chr1,5204240,5205011,peak_02551,501
chr1,5211952,5212084,peak_00061,746
chr1,5221783,5222020,peak_04407,284
chr1,5223573,5224736,peak_03050,533
chr1,5229908,5230043,peak_03634,689
chr1,5239579,5241295,peak_02346,578
chr1,5243638,5244214,peak_03441,73
chr1,5269443,5270430,peak_04638,661
chr1,5273923,5274609,peak_03709,392
chr1,5281392,5282838,peak_01286,215
chr1,5303719,5304382,peak_04818,593
chr1,5329266,5330594,peak_02740,902
chr1,5332605,5332875,peak_00938,179
chr1,5350455,5351541,peak_03128,756
chr1,5356891,5358559,peak_02697,385
chr1,5363230,5363528,peak_00003,662
chr1,5369384,5370411,peak_01103,215
chr1,5396364,5397929,peak_03082,72
chr1,5406884,5407415,peak_01752,44
chr1,5441067,5442496,peak_00394,593
chr1,5444531,5444948,peak_02284,528
chr1,5446165,5447183,peak_03390,256
chr1,5446823,5448394,peak_04089,301
chr1,5455458,5456876,peak_02147,696
chr1,5460763,5462486,peak_00328,302
chr1,5482302,5482502,peak_01400,349
chr1,5483938,5485819,peak_03956,53
chr1,5485108,5485722,peak_01390,771
chr1,5486576,5488037,peak_04896,345
chr1,5495143,5495715,peak_03156,950
chr1,5518314,5518637,peak_02127,140
chr1,5523739,5524066,peak_02198,603
chr1,5524290,5524927,peak_02141,960
chr1,5527383,5527693,peak_03695,792
chr1,5527633,5529238,peak_04955,496
chr1,5539031,5540621,peak_02462,149
chr1,5547394,5548301,peak_00074,193
chr1,5558345,5560265,peak_02000,285
chr1,5567889,5569482,peak_01942,659
chr1,5574311,5574427,peak_02420,129
chr1,5581173,5581298,peak_04577,753
chr1,5585953,5586987,peak_02128,765
chr1,5596432,5598258,peak_04010,78
chr1,5599858,5600992,peak_01386,10
chr1,5627834,5628917,peak_04440,732
chr1,5647000,5647544,peak_00264,55
chr1,5662975,5663924,peak_01981,696
chr1,5671921,5673423,peak_03839,797
chr1,5672955,5673319,peak_04597,192
chr1,5685844,5687610,peak_03181,817
chr1,5698104,5698220,peak_01612,614
chr1,5714177,5714441,peak_01037,561
chr1,5731767,5732097,peak_01874,749
chr1,5732371,5732786,peak_01873,350
chr1,5740959,5741763,peak_02097,322
chr1,5744998,5745736,peak_00241,932
chr1,5760247,5761060,peak_04576,142
chr1,5762045,5763694,peak_00235,736
chr1,5766908,5768325,peak_04679,75
chr1,5779307,5780979,peak_01050,133
chr1,5785338,5786793,peak_02044,965
chr1,5788626,5789605,peak_03285,286
chr1,5801125,5801467,peak_00625,45
chr1,5807970,5809509,peak_01994,812
chr1,5815399,5816333,peak_04641,551
chr1,5816049,5817813,peak_01909,810
chr1,5830828,5832149,peak_02533,368
chr1,5849312,5849800,peak_00527,465
chr1,5863736,5865706,peak_01683,100
chr1,5870213,5872059,peak_03800,358
chr1,5876065,5876499,peak_00303,353
chr1,5880570,5881697,peak_00110,935
chr1,5890226,5891533,peak_01159,309
chr1,5905110,5907059,peak_04741,396
chr1,5907097,5908975,peak_04724,58
chr1,5918529,5919726,peak_04725,324
chr1,5924065,5926025,peak_01830,505
chr1,5926430,5927053,peak_02924,401
chr1,5928209,5928824,peak_03119,417
chr1,5933831,5934423,peak_03882,876
chr1,5941059,5942577,peak_02558,962
chr1,5947280,5947941,peak_00597,320
chr1,5949534,5950676,peak_04130,313
chr1,5953135,5953669,peak_01382,986
chr1,5956043,5957046,peak_02548,593
chr1,5956691,5958368,peak_01154,18
chr1,5969653,5969830,peak_02873,920
chr1,5972416,5972572,peak_02399,533
chr1,5981546,5982972,peak_01695,828
chr1,5987320,5988719,peak_00168,704
chr1,6003883,6005345,peak_00272,648
chr1,6008389,6010263,peak_03300,841
chr1,6008691,6010222,peak_03401,127
chr1,6022534,6022661,peak_01585,395
chr1,6024480,6025324,peak_00908,580
chr1,6030223,6030914,peak_03528,708
chr1,6052648,6053167,peak_01819,113
chr1,6066509,6067541,peak_04911,672
chr1,6068087,6068640,peak_02116,716
chr1,6074796,6075838,peak_00424,171
chr1,6088917,6089090,peak_04013,181
chr1,6095195,6095473,peak_03070,632
chr1,6132427,6132925,peak_03443,482
chr1,6138462,6139703,peak_04183,274
chr1,6166291,6167181,peak_02702,530
chr1,6178379,6179317,peak_04996,647
chr1,6189783,6191600,peak_03357,498
chr1,6221892,6223736,peak_03373,461
chr1,6223040,6223210,peak_03003,39
chr1,6257106,6258076,peak_04022,774
chr1,6257435,6257655,peak_02655,691
chr1,6259376,6260925,peak_00312,851
chr1,6269048,6270582,peak_03363,431
chr1,6270047,6271481,peak_03548,637
chr1,6276458,6278103,peak_04637,262
chr1,6277243,6278208,peak_01414,584
chr1,6299799,6300023,peak_03847,912
chr1,6300378,6300509,peak_03006,247
chr1,6309349,6310842,peak_03038,87
chr1,6313767,6314052,peak_00468,841
chr1,6331087,6331686,peak_00858,72
chr1,6338644,6340410,peak_03683,14
chr1,6346305,6347013,peak_03351,180
chr1,6349192,6349308,peak_03289,248
chr1,6370710,6370828,peak_02556,217
chr1,6385380,6385732,peak_00660,427
chr1,6398280,6398994,peak_04193,428
chr1,6402645,6402985,peak_04492,794
chr1,6407795,6408220,peak_03680,531
chr1,6408356,6408740,peak_01084,928
chr1,6426783,6428739,peak_04632,973
chr1,6432267,6434128,peak_01477,987
chr1,6444687,6444869,peak_03951,25
chr1,6447458,6449380,peak_00943,925
chr1,6455457,6456103,peak_01808,254
chr1,6462805,6463851,peak_02421,158
chr1,6466506,6466974,peak_03969,943
chr1,6469862,6471790,peak_01379,864
chr1,6478095,6479601,peak_03959,929
chr1,6482175,6482522,peak_01375,102
chr1,6484230,6486145,peak_02599,364
chr1,6498467,6499283,peak_01956,968
chr1,6514150,6514977,peak_04362,922
chr1,6518151,6520108,peak_02959,244
chr1,6519671,6520218,peak_02708,692
chr1,6523489,6524052,peak_02845,538
chr1,6526280,6527558,peak_03624,460
chr1,6526771,6527647,peak_00915,207
chr1,6528747,6530404,peak_01852,351
chr1,6543339,6544790,peak_04483,306
chr1,6554550,6556078,peak_03559,384
chr1,6560280,6560636,peak_01883,927
chr1,6575187,6576010,peak_00897,952
chr1,6587735,6589398,peak_01937,280
chr1,6605070,6605180,peak_01740,236
chr1,6607420,6607670,peak_02632,143
chr1,6611824,6613420,peak_04552,410
chr1,6637104,6637423,peak_00230,670
chr1,6645095,6645636,peak_02532,569
chr1,6666544,6668202,peak_03456,485
chr1,6668033,6668158,peak_02683,935
chr1,6670954,6672084,peak_01227,737
chr1,6676198,6677782,peak_02477,569
chr1,6678762,6680759,peak_02583,599
chr1,6683434,6685216,peak_03384,681
chr1,6689469,6689734,peak_04613,879
chr1,6703817,6704796,peak_02247,315
chr1,6718328,6719382,peak_03903,638
chr1,6721964,6723780,peak_00888,531
chr1,6740127,6741791,peak_04737,446
chr1,6744807,6746315,peak_03764,788
chr1,6771573,6772192,peak_03036,409
chr1,6783084,6784494,peak_00581,170
chr1,6784114,6785916,peak_00634,971
chr1,6794066,6794315,peak_02453,791
chr1,6808554,6809356,peak_02877,660
chr1,6808756,6810196,peak_00200,983
chr1,6808756,6810647,peak_01445,990
chr1,6812010,6813304,peak_04352,471
chr1,6820231,6821792,peak_03016,973
chr1,6822376,6823658,peak_01119,236
chr1,6859370,6861018,peak_04903,483
chr1,6883769,6885110,peak_04743,253
